Epoch 1: train_loss: 0.9432554966280896, train_acc: 0.2818579766536965, train_f1: 0.1800318088084134
Epoch 119: train_loss: 0.2870494642146367, train_acc: 0.7817363813229572, train_f1: 0.819941323925624
Epoch 120: train_loss: 0.297090422898415, train_acc: 0.7705496108949417, train_f1: 0.8087062172189357
Epoch 121: train_loss: 0.3026430243300093, train_acc: 0.7695768482490273, train_f1: 0.8081272893761636
Epoch 122: train_loss: 0.29247961010682444, train_acc: 0.7757782101167315, train_f1: 0.8161852960791331
Epoch 123: train_loss: 0.29354303849114516, train_acc: 0.773954280155642, train_f1: 0.8119358348916755
Epoch 124: train_loss: 0.2907724041303308, train_acc: 0.7761429961089494, train_f1: 0.8166469974633354
Epoch 125: train_loss: 0.2839572138301593, train_acc: 0.7799124513618677, train_f1: 0.8210020997138089
Epoch 126: train_loss: 0.29243505131525754, train_acc: 0.7749270428015564, train_f1: 0.8152678041568039
Epoch 127: train_loss: 0.293726916037181, train_acc: 0.7717655642023347, train_f1: 0.8139354884797525
Epoch 128: train_loss: 0.28307316139166455, train_acc: 0.7825875486381323, train_f1: 0.8235142032679227
Epoch 129: train_loss: 0.2848023873271877, train_acc: 0.7808852140077821, train_f1: 0.8205691736822338
Epoch 130: train_loss: 0.2862581446013098, train_acc: 0.7795476653696498, train_f1: 0.8227471004225976
Epoch 131: train_loss: 0.28686169245015786, train_acc: 0.7814931906614786, train_f1: 0.8174003783290263
Epoch 132: train_loss: 0.28749444141462155, train_acc: 0.7803988326848249, train_f1: 0.8212639002165868
Epoch 133: train_loss: 0.28952239442196337, train_acc: 0.7769941634241245, train_f1: 0.8183886841887693
Epoch 134: train_loss: 0.2804796822687995, train_acc: 0.7831955252918288, train_f1: 0.8258340865315271
Epoch 135: train_loss: 0.2830711055532504, train_acc: 0.7801556420233463, train_f1: 0.8185995840868253
Epoch 136: train_loss: 0.2835834512798703, train_acc: 0.7823443579766537, train_f1: 0.8199688203603622
Epoch 137: train_loss: 0.2792777446341422, train_acc: 0.7863570038910506, train_f1: 0.8285393044033905
Epoch 138: train_loss: 0.2766323188747413, train_acc: 0.7892752918287937, train_f1: 0.8294393610527595
Epoch 139: train_loss: 0.28303523164546907, train_acc: 0.7829523346303502, train_f1: 0.8224757046841256
Epoch 140: train_loss: 0.2828652138897881, train_acc: 0.780034046692607, train_f1: 0.8201079959370953
Epoch 141: train_loss: 0.27184107516990097, train_acc: 0.7895184824902723, train_f1: 0.8330392884356703
Epoch 142: train_loss: 0.2827014695809509, train_acc: 0.7852626459143969, train_f1: 0.8247258769020304
Epoch 143: train_loss: 0.27299192678255796, train_acc: 0.7858706225680934, train_f1: 0.8290560058697231
Epoch 144: train_loss: 0.2730427998107231, train_acc: 0.7891536964980544, train_f1: 0.8317786502376632
Epoch 145: train_loss: 0.2690938117439181, train_acc: 0.7938959143968871, train_f1: 0.8322566872734404
Epoch 146: train_loss: 0.2693327331357429, train_acc: 0.7917071984435797, train_f1: 0.8355507232371786
Epoch 147: train_loss: 0.2666162758601779, train_acc: 0.7955982490272373, train_f1: 0.8379544055389951
Epoch 148: train_loss: 0.2732123175657677, train_acc: 0.7904912451361867, train_f1: 0.8311606027427692
Epoch 149: train_loss: 0.2668609589570227, train_acc: 0.796692607003891, train_f1: 0.8384085403617788
Epoch 150: train_loss: 0.26640432936788067, train_acc: 0.7957198443579766, train_f1: 0.8351184703451165
Epoch 151: train_loss: 0.25351298632324903, train_acc: 0.8075145914396887, train_f1: 0.8475523322002313
Epoch 152: train_loss: 0.2785967465794504, train_acc: 0.783681906614786, train_f1: 0.8234407093279145
Epoch 153: train_loss: 0.2731481243780151, train_acc: 0.7924367704280155, train_f1: 0.8333231441636816
Epoch 154: train_loss: 0.2632382247118634, train_acc: 0.7993677042801557, train_f1: 0.8417962240430833
Epoch 155: train_loss: 0.26577128881610323, train_acc: 0.7980301556420234, train_f1: 0.8365859831913921
Epoch 156: train_loss: 0.25804799012404933, train_acc: 0.8030155642023347, train_f1: 0.8446827009570071
Epoch 157: train_loss: 0.2688151169205918, train_acc: 0.7904912451361867, train_f1: 0.8338380367537725
Epoch 158: train_loss: 0.2473336502851679, train_acc: 0.8109192607003891, train_f1: 0.8503444454303964
Epoch 159: train_loss: 0.2594379054143271, train_acc: 0.8002188715953308, train_f1: 0.8426083450554006
Epoch 160: train_loss: 0.254303590651848, train_acc: 0.807636186770428, train_f1: 0.8441220041682652
Epoch 161: train_loss: 0.25511612850404436, train_acc: 0.8033803501945526, train_f1: 0.8438991651749967
Epoch 162: train_loss: 0.2531269882381658, train_acc: 0.8059338521400778, train_f1: 0.8483769938212765
Epoch 163: train_loss: 0.2556767346562115, train_acc: 0.803137159533074, train_f1: 0.8436303047601205
Epoch 164: train_loss: 0.2608320379651474, train_acc: 0.8025291828793775, train_f1: 0.8410530232214478
Epoch 165: train_loss: 0.2497820688650766, train_acc: 0.8110408560311284, train_f1: 0.8514011683195896
Epoch 166: train_loss: 0.24610456740229975, train_acc: 0.8117704280155642, train_f1: 0.8541610121652209
Epoch 167: train_loss: 0.25256639733504693, train_acc: 0.8070282101167315, train_f1: 0.8476521197740033
Epoch 168: train_loss: 0.25397593093173515, train_acc: 0.8070282101167315, train_f1: 0.84543121847783
Epoch 169: train_loss: 0.2506345516570811, train_acc: 0.810068093385214, train_f1: 0.8501199075639096
Epoch 170: train_loss: 0.24980133192084641, train_acc: 0.8094601167315175, train_f1: 0.8493955329576565
Epoch 171: train_loss: 0.24295903369784355, train_acc: 0.8162694552529183, train_f1: 0.8553376596414881
Epoch 172: train_loss: 0.25489738885066854, train_acc: 0.8039883268482491, train_f1: 0.8429001261676904
Epoch 173: train_loss: 0.24357688592217774, train_acc: 0.816147859922179, train_f1: 0.8501403612171009
Epoch 174: train_loss: 0.24092579914206197, train_acc: 0.8171206225680934, train_f1: 0.857162491264313
Epoch 175: train_loss: 0.2454496800667581, train_acc: 0.8157830739299611, train_f1: 0.8546701461203687
Epoch 176: train_loss: 0.24342189374079037, train_acc: 0.8163910505836576, train_f1: 0.8539313615942216
Epoch 177: train_loss: 0.23919362050086143, train_acc: 0.8191877431906615, train_f1: 0.8568853593094845
Epoch 178: train_loss: 0.2431999661521225, train_acc: 0.8129863813229572, train_f1: 0.8517223354109889
Epoch 179: train_loss: 0.24031820629473327, train_acc: 0.8152966926070039, train_f1: 0.8571632620507127
Epoch 180: train_loss: 0.2407260386106569, train_acc: 0.8200389105058365, train_f1: 0.8595443551858312
Epoch 181: train_loss: 0.239403617057355, train_acc: 0.8171206225680934, train_f1: 0.8550418965448591
Epoch 182: train_loss: 0.23743507355915433, train_acc: 0.8228356031128404, train_f1: 0.8611165997915852
Epoch 183: train_loss: 0.23335374422110472, train_acc: 0.8225924124513618, train_f1: 0.8607094132599484
Epoch 184: train_loss: 0.22879846421603098, train_acc: 0.8287937743190662, train_f1: 0.865216589614075
Epoch 185: train_loss: 0.22706661848822457, train_acc: 0.829523346303502, train_f1: 0.8672036293770633
Epoch 186: train_loss: 0.2368532909000662, train_acc: 0.8241731517509727, train_f1: 0.8626420667901367
Epoch 187: train_loss: 0.233608488993654, train_acc: 0.8251459143968871, train_f1: 0.8619397453292096
Epoch 188: train_loss: 0.23014744950987487, train_acc: 0.8268482490272373, train_f1: 0.8668474601636169
Epoch 189: train_loss: 0.22942963762911842, train_acc: 0.8266050583657587, train_f1: 0.8628511176651985
Epoch 190: train_loss: 0.22987129272537937, train_acc: 0.8262402723735408, train_f1: 0.8652922499400963
Epoch 191: train_loss: 0.22726743537860158, train_acc: 0.8287937743190662, train_f1: 0.8665545704013818
Epoch 192: train_loss: 0.2299480812355934, train_acc: 0.8296449416342413, train_f1: 0.8647701809994802
Epoch 193: train_loss: 0.22317071704027253, train_acc: 0.8335359922178989, train_f1: 0.8730883050428949
Epoch 194: train_loss: 0.22944091532944705, train_acc: 0.8253891050583657, train_f1: 0.8640455846790275
Epoch 195: train_loss: 0.226569771737672, train_acc: 0.8259970817120622, train_f1: 0.8645512980641726
Epoch 196: train_loss: 0.22750601689929165, train_acc: 0.825510700389105, train_f1: 0.8642230744013958
Epoch 197: train_loss: 0.22018397674834217, train_acc: 0.8346303501945526, train_f1: 0.8734830536678836
Epoch 198: train_loss: 0.21302507625682576, train_acc: 0.8416828793774319, train_f1: 0.8753294444636087
Epoch 199: train_loss: 0.22196706738105543, train_acc: 0.8342655642023347, train_f1: 0.8684994144954817
Epoch 200: train_loss: 0.2222324874005661, train_acc: 0.8324416342412452, train_f1: 0.870075163933318
